version	selected_candidate	selected_candidate_type	classification_threshold_selected_on_validation	n_train	train_essential	train_nonessential	n_validation	n_test	validation_auc	validation_auprc	validation_accuracy	validation_balanced_accuracy	validation_f1	validation_precision	validation_recall	validation_specificity	validation_threshold	validation_tp	validation_fp	validation_tn	validation_fn	test_auc	test_auprc	test_accuracy	test_balanced_accuracy	test_f1	test_precision	test_recall	test_specificity	test_threshold	test_tp	test_fp	test_tn	test_fn
strict2601_common6751	global_mean_all_40_columns	fixed_blend	0.3	2275	428	1847	163	163	0.9020325203252032	0.8069535967852005	0.8282208588957055	0.8102642276422765	0.6888888888888889	0.62	0.775	0.8455284552845529	0.3	31	19	104	9	0.917479674796748	0.8387429431573079	0.852760736196319	0.8433943089430894	0.7333333333333333	0.66	0.825	0.8617886178861789	0.3	33	17	106	7
core1623_common6751	seed20260613_pca1024_k1100__mean_all	base_or_within_config_mean	0.2641315162181854	1297	318	979	163	163	0.9016260162601626	0.8203449705171509	0.8711656441717791	0.8471544715447155	0.7529411764705882	0.7111111111111111	0.8	0.8943089430894309	0.2641315162181854	32	13	110	8	0.9022357723577237	0.8118120074256888	0.8220858895705522	0.8146341463414635	0.6881720430107527	0.6037735849056604	0.8	0.8292682926829268	0.2641315162181854	32	21	102	8
teacher3359_common6751	seed20260612_pca768_k900__logistic	base_or_within_config_mean	0.54	3033	1012	2021	163	163	0.9178861788617886	0.8312924070826913	0.8773006134969326	0.8596544715447154	0.7674418604651163	0.717391304347826	0.825	0.8943089430894309	0.54	33	13	110	7	0.9022357723577236	0.7336401494229556	0.8220858895705522	0.8399390243902439	0.7070707070707071	0.5932203389830508	0.875	0.8048780487804879	0.54	35	24	99	5
