threshold	rice_sn	rice_sp	rice_f1	ath_sn	ath_sp	ath_f1	min_sn	min_sp	mean_sp	mean_sn	mean_f1
0.0	1.0	0.0	0.5095541401273885	1.0	0.0	0.39408866995073893	1.0	0.0	0.0	1.0	0.45182140503906376
0.0027941945008933544	1.0	0.0	0.5095541401273885	1.0	0.0	0.39408866995073893	1.0	0.0	0.0	1.0	0.45182140503906376
0.002794194733723998	1.0	0.012987012987012988	0.5128205128205128	1.0	0.0	0.39408866995073893	1.0	0.0	0.006493506493506494	1.0	0.4534545913856258
0.008351938799023628	1.0	0.012987012987012988	0.5128205128205128	1.0	0.0	0.39408866995073893	1.0	0.0	0.006493506493506494	1.0	0.4534545913856258
0.008351939730346203	1.0	0.025974025974025976	0.5161290322580645	1.0	0.0	0.39408866995073893	1.0	0.0	0.012987012987012988	1.0	0.4551088511044017
0.009484575130045414	1.0	0.025974025974025976	0.5161290322580645	1.0	0.0	0.39408866995073893	1.0	0.0	0.012987012987012988	1.0	0.4551088511044017
0.009484576061367989	1.0	0.025974025974025976	0.5161290322580645	1.0	0.008130081300813009	0.39603960396039606	1.0	0.008130081300813009	0.017052053637419493	1.0	0.4560843181092303
0.010149326175451279	1.0	0.025974025974025976	0.5161290322580645	1.0	0.008130081300813009	0.39603960396039606	1.0	0.008130081300813009	0.017052053637419493	1.0	0.4560843181092303
0.010149327106773853	1.0	0.03896103896103896	0.5194805194805194	1.0	0.008130081300813009	0.39603960396039606	1.0	0.008130081300813009	0.023545560130925985	1.0	0.45776006172045774
0.010422631166875362	1.0	0.03896103896103896	0.5194805194805194	1.0	0.008130081300813009	0.39603960396039606	1.0	0.008130081300813009	0.023545560130925985	1.0	0.45776006172045774
0.010422632098197937	1.0	0.05194805194805195	0.5228758169934641	1.0	0.008130081300813009	0.39603960396039606	1.0	0.008130081300813009	0.03003906662443248	1.0	0.45945771047693007
0.011782332323491573	1.0	0.05194805194805195	0.5228758169934641	1.0	0.008130081300813009	0.39603960396039606	1.0	0.008130081300813009	0.03003906662443248	1.0	0.45945771047693007
0.011782333254814148	1.0	0.06493506493506493	0.5263157894736842	1.0	0.008130081300813009	0.39603960396039606	1.0	0.008130081300813009	0.03653257311793897	1.0	0.4611776967170401
0.01319068018347025	1.0	0.06493506493506493	0.5263157894736842	1.0	0.008130081300813009	0.39603960396039606	1.0	0.008130081300813009	0.03653257311793897	1.0	0.4611776967170401
0.013190681114792824	1.0	0.06493506493506493	0.5263157894736842	1.0	0.016260162601626018	0.39800995024875624	1.0	0.016260162601626018	0.040597613768345475	1.0	0.46216286986122024
0.014312004670500755	1.0	0.06493506493506493	0.5263157894736842	1.0	0.016260162601626018	0.39800995024875624	1.0	0.016260162601626018	0.040597613768345475	1.0	0.46216286986122024
0.01431200560182333	1.0	0.07792207792207792	0.5298013245033113	1.0	0.016260162601626018	0.39800995024875624	1.0	0.016260162601626018	0.04709112026185197	1.0	0.46390563737603374
0.015264768153429031	1.0	0.07792207792207792	0.5298013245033113	1.0	0.016260162601626018	0.39800995024875624	1.0	0.016260162601626018	0.04709112026185197	1.0	0.46390563737603374
0.015264769084751606	1.0	0.07792207792207792	0.5298013245033113	0.975	0.016260162601626018	0.39	0.975	0.016260162601626018	0.04709112026185197	0.9875	0.45990066225165566
0.015307469293475151	1.0	0.07792207792207792	0.5298013245033113	0.975	0.016260162601626018	0.39	0.975	0.016260162601626018	0.04709112026185197	0.9875	0.45990066225165566
0.015307470224797726	1.0	0.09090909090909091	0.5333333333333333	0.975	0.016260162601626018	0.39	0.975	0.016260162601626018	0.05358462675535847	0.9875	0.46166666666666667
0.015407550148665905	1.0	0.09090909090909091	0.5333333333333333	0.975	0.016260162601626018	0.39	0.975	0.016260162601626018	0.05358462675535847	0.9875	0.46166666666666667
