threshold	rice_sn	rice_sp	rice_f1	ath_sn	ath_sp	ath_f1	min_sn	min_sp	mean_sp	mean_sn	mean_f1
0.0	1.0	0.0	0.5095541401273885	1.0	0.0	0.39408866995073893	1.0	0.0	0.0	1.0	0.45182140503906376
0.009099611285672026	1.0	0.0	0.5095541401273885	1.0	0.0	0.39408866995073893	1.0	0.0	0.0	1.0	0.45182140503906376
0.009099611285672028	1.0	0.0	0.5095541401273885	1.0	0.008130081300813009	0.39603960396039606	1.0	0.0	0.0040650406504065045	1.0	0.4527968720438923
0.012746630726856677	1.0	0.0	0.5095541401273885	1.0	0.008130081300813009	0.39603960396039606	1.0	0.0	0.0040650406504065045	1.0	0.4527968720438923
0.012746630726856679	1.0	0.012987012987012988	0.5128205128205128	1.0	0.008130081300813009	0.39603960396039606	1.0	0.008130081300813009	0.010558547143912998	1.0	0.4544300583904544
0.014875165796628844	1.0	0.012987012987012988	0.5128205128205128	1.0	0.008130081300813009	0.39603960396039606	1.0	0.008130081300813009	0.010558547143912998	1.0	0.4544300583904544
0.014875165796628845	1.0	0.012987012987012988	0.5128205128205128	1.0	0.016260162601626018	0.39800995024875624	1.0	0.012987012987012988	0.014623587794319503	1.0	0.4554152315346345
0.02082193149669885	1.0	0.012987012987012988	0.5128205128205128	1.0	0.016260162601626018	0.39800995024875624	1.0	0.012987012987012988	0.014623587794319503	1.0	0.4554152315346345
0.020821931496698854	1.0	0.012987012987012988	0.5128205128205128	1.0	0.024390243902439025	0.4	1.0	0.012987012987012988	0.018688628444726005	1.0	0.4564102564102564
0.033240583226531305	1.0	0.012987012987012988	0.5128205128205128	1.0	0.024390243902439025	0.4	1.0	0.012987012987012988	0.018688628444726005	1.0	0.4564102564102564
0.03324058322653131	1.0	0.025974025974025976	0.5161290322580645	1.0	0.024390243902439025	0.4	1.0	0.024390243902439025	0.0251821349382325	1.0	0.45806451612903226
0.036079765840915906	1.0	0.025974025974025976	0.5161290322580645	1.0	0.024390243902439025	0.4	1.0	0.024390243902439025	0.0251821349382325	1.0	0.45806451612903226
0.03607976584091591	1.0	0.025974025974025976	0.5161290322580645	1.0	0.032520325203252036	0.4020100502512563	1.0	0.025974025974025976	0.029247175588639006	1.0	0.4590695412546604
0.0371811489440561	1.0	0.025974025974025976	0.5161290322580645	1.0	0.032520325203252036	0.4020100502512563	1.0	0.025974025974025976	0.029247175588639006	1.0	0.4590695412546604
0.03718114894405611	1.0	0.025974025974025976	0.5161290322580645	1.0	0.04065040650406504	0.40404040404040403	1.0	0.025974025974025976	0.03331221623904551	1.0	0.46008471814923424
0.03835087837719785	1.0	0.025974025974025976	0.5161290322580645	1.0	0.04065040650406504	0.40404040404040403	1.0	0.025974025974025976	0.03331221623904551	1.0	0.46008471814923424
0.038350878377197854	1.0	0.025974025974025976	0.5161290322580645	1.0	0.04878048780487805	0.40609137055837563	1.0	0.025974025974025976	0.03737725688945201	1.0	0.46111020140822007
0.04088609300212051	1.0	0.025974025974025976	0.5161290322580645	1.0	0.04878048780487805	0.40609137055837563	1.0	0.025974025974025976	0.03737725688945201	1.0	0.46111020140822007
0.04088609300212052	1.0	0.025974025974025976	0.5161290322580645	1.0	0.056910569105691054	0.40816326530612246	1.0	0.025974025974025976	0.041442297539858515	1.0	0.4621461487820935
0.041798189906735374	1.0	0.025974025974025976	0.5161290322580645	1.0	0.056910569105691054	0.40816326530612246	1.0	0.025974025974025976	0.041442297539858515	1.0	0.4621461487820935
