threshold	rice_sn	rice_sp	rice_f1	ath_sn	ath_sp	ath_f1	min_sn	min_sp	mean_sp	mean_sn	mean_f1
0.0	1.0	0.0	0.5095541401273885	1.0	0.0	0.39408866995073893	1.0	0.0	0.0	1.0	0.45182140503906376
0.010488166823283853	1.0	0.0	0.5095541401273885	1.0	0.0	0.39408866995073893	1.0	0.0	0.0	1.0	0.45182140503906376
0.010488166823283854	1.0	0.0	0.5095541401273885	1.0	0.008130081300813009	0.39603960396039606	1.0	0.0	0.0040650406504065045	1.0	0.4527968720438923
0.013859076910622006	1.0	0.0	0.5095541401273885	1.0	0.008130081300813009	0.39603960396039606	1.0	0.0	0.0040650406504065045	1.0	0.4527968720438923
0.013859076910622008	1.0	0.0	0.5095541401273885	1.0	0.016260162601626018	0.39800995024875624	1.0	0.0	0.008130081300813009	1.0	0.4537820451880724
0.01460749640747799	1.0	0.0	0.5095541401273885	1.0	0.016260162601626018	0.39800995024875624	1.0	0.0	0.008130081300813009	1.0	0.4537820451880724
0.014607496407477992	1.0	0.012987012987012988	0.5128205128205128	1.0	0.016260162601626018	0.39800995024875624	1.0	0.012987012987012988	0.014623587794319503	1.0	0.4554152315346345
0.026329769370932295	1.0	0.012987012987012988	0.5128205128205128	1.0	0.016260162601626018	0.39800995024875624	1.0	0.012987012987012988	0.014623587794319503	1.0	0.4554152315346345
0.026329769370932298	1.0	0.012987012987012988	0.5128205128205128	1.0	0.024390243902439025	0.4	1.0	0.012987012987012988	0.018688628444726005	1.0	0.4564102564102564
0.029000954650710984	1.0	0.012987012987012988	0.5128205128205128	1.0	0.024390243902439025	0.4	1.0	0.012987012987012988	0.018688628444726005	1.0	0.4564102564102564
0.029000954650710987	1.0	0.025974025974025976	0.5161290322580645	1.0	0.024390243902439025	0.4	1.0	0.024390243902439025	0.0251821349382325	1.0	0.45806451612903226
0.02947725154147308	1.0	0.025974025974025976	0.5161290322580645	1.0	0.024390243902439025	0.4	1.0	0.024390243902439025	0.0251821349382325	1.0	0.45806451612903226
0.029477251541473085	1.0	0.025974025974025976	0.5161290322580645	1.0	0.032520325203252036	0.4020100502512563	1.0	0.025974025974025976	0.029247175588639006	1.0	0.4590695412546604
0.033118291429469676	1.0	0.025974025974025976	0.5161290322580645	1.0	0.032520325203252036	0.4020100502512563	1.0	0.025974025974025976	0.029247175588639006	1.0	0.4590695412546604
0.03311829142946968	1.0	0.025974025974025976	0.5161290322580645	1.0	0.04065040650406504	0.40404040404040403	1.0	0.025974025974025976	0.03331221623904551	1.0	0.46008471814923424
0.03410557173097883	1.0	0.025974025974025976	0.5161290322580645	1.0	0.04065040650406504	0.40404040404040403	1.0	0.025974025974025976	0.03331221623904551	1.0	0.46008471814923424
0.034105571730978834	1.0	0.03896103896103896	0.5194805194805194	1.0	0.04065040650406504	0.40404040404040403	1.0	0.03896103896103896	0.039805722732552	1.0	0.4617604617604617
0.03699489918176337	1.0	0.03896103896103896	0.5194805194805194	1.0	0.04065040650406504	0.40404040404040403	1.0	0.03896103896103896	0.039805722732552	1.0	0.4617604617604617
0.03699489918176338	1.0	0.03896103896103896	0.5194805194805194	1.0	0.04878048780487805	0.40609137055837563	1.0	0.03896103896103896	0.043870763382958505	1.0	0.46278594501944753
0.039676156561846615	1.0	0.03896103896103896	0.5194805194805194	1.0	0.04878048780487805	0.40609137055837563	1.0	0.03896103896103896	0.043870763382958505	1.0	0.46278594501944753
0.03967615656184662	1.0	0.05194805194805195	0.5228758169934641	1.0	0.04878048780487805	0.40609137055837563	1.0	0.04878048780487805	0.050364269876465	1.0	0.46448359377591986
0.04019816463706859	1.0	0.05194805194805195	0.5228758169934641	1.0	0.04878048780487805	0.40609137055837563	1.0	0.04878048780487805	0.050364269876465	1.0	0.46448359377591986
