threshold	rice_sn	rice_sp	rice_f1	ath_sn	ath_sp	ath_f1	min_sn	min_sp	mean_sp	mean_sn	mean_f1
0.0	1.0	0.0	0.5095541401273885	1.0	0.0	0.39408866995073893	1.0	0.0	0.0	1.0	0.45182140503906376
0.006873109843581915	1.0	0.0	0.5095541401273885	1.0	0.0	0.39408866995073893	1.0	0.0	0.0	1.0	0.45182140503906376
0.006873110309243202	1.0	0.012987012987012988	0.5128205128205128	1.0	0.0	0.39408866995073893	1.0	0.0	0.006493506493506494	1.0	0.4534545913856258
0.01609819009900093	1.0	0.012987012987012988	0.5128205128205128	1.0	0.0	0.39408866995073893	1.0	0.0	0.006493506493506494	1.0	0.4534545913856258
0.01609819196164608	1.0	0.025974025974025976	0.5161290322580645	1.0	0.0	0.39408866995073893	1.0	0.0	0.012987012987012988	1.0	0.4551088511044017
0.0192829929292202	1.0	0.025974025974025976	0.5161290322580645	1.0	0.0	0.39408866995073893	1.0	0.0	0.012987012987012988	1.0	0.4551088511044017
0.01928299479186535	1.0	0.025974025974025976	0.5161290322580645	1.0	0.008130081300813009	0.39603960396039606	1.0	0.008130081300813009	0.017052053637419493	1.0	0.4560843181092303
0.02027314156293869	1.0	0.025974025974025976	0.5161290322580645	1.0	0.008130081300813009	0.39603960396039606	1.0	0.008130081300813009	0.017052053637419493	1.0	0.4560843181092303
0.02027314342558384	1.0	0.03896103896103896	0.5194805194805194	1.0	0.008130081300813009	0.39603960396039606	1.0	0.008130081300813009	0.023545560130925985	1.0	0.45776006172045774
0.020428258925676346	1.0	0.03896103896103896	0.5194805194805194	1.0	0.008130081300813009	0.39603960396039606	1.0	0.008130081300813009	0.023545560130925985	1.0	0.45776006172045774
0.020428260788321495	1.0	0.03896103896103896	0.5194805194805194	1.0	0.016260162601626018	0.39800995024875624	1.0	0.016260162601626018	0.02761060078133249	1.0	0.4587452348646378
0.02142714150249958	1.0	0.03896103896103896	0.5194805194805194	1.0	0.016260162601626018	0.39800995024875624	1.0	0.016260162601626018	0.02761060078133249	1.0	0.4587452348646378
0.02142714336514473	1.0	0.03896103896103896	0.5194805194805194	1.0	0.024390243902439025	0.4	1.0	0.024390243902439025	0.031675641431738996	1.0	0.4597402597402597
0.021429777145385742	1.0	0.03896103896103896	0.5194805194805194	1.0	0.024390243902439025	0.4	1.0	0.024390243902439025	0.031675641431738996	1.0	0.4597402597402597
0.02142977900803089	1.0	0.05194805194805195	0.5228758169934641	1.0	0.024390243902439025	0.4	1.0	0.024390243902439025	0.03816914792524549	1.0	0.46143790849673205
